"","PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER"
"2837",14547091020004,12432790010690,"88287.UT",2017,8920,39.47888,-110.184865,0,0,14.8708925683,282.5469587977,14.8708925683,0,0,19.05,19.05,17.9226607517146,0,0,0.423854987476353,7.12829898938008,0.423854987476353,0,0,0,0.631099769313487,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2867",14547279020004,12433224010690,"80404.UT",2017,8640,39.842679,-110.597471,0,0,29.7417851366,416.3849919124,29.7417851366,0,0,14.0975720604649,14.0975720604649,22.9788292502966,0,0,0.464243658282988,17.2679652177833,0.464243658282988,2.22574731023582,0,0,0.779678731723077,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2879",14547841020004,12436781010690,"85319.UT",2017,9070,38.520487,-109.163862,0,14.8708925683,29.7417851366,59.4835702732,44.6126777049,0,13.462,23.6124389252783,20.7871754374342,19.4993601433483,0,0.211663761745969,1.30238392951845,1.77634799551423,1.51404769126442,0,0,0.362110727846846,1.75593482879966,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2885",14548644020004,11948863010690,"80244.UT",2016,9730,38.48279,-112.374969,0,14.8708925683,208.1924959562,1754.7653230594,223.0633885245,0,14.986,19.9001919875879,19.6109275184356,19.6587701134349,0,0.26230030424981,6.47544928066984,53.2625596262506,6.73774958491965,4.04399101651216,0,0.429895816297229,9.25729844687735,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2886",14548657020004,12441098010690,"84496.UT",2017,9450,38.349522,-112.035941,0,0,0,44.6126777049,0,0,0,0,0,14.0582364944304,0,0,0,0.692484859539143,0,0,0,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","absent","none",0,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2903",14549194020004,31056541010690,"86617.UT",2019,9000,38.71541,-111.514001,0,29.7417851366,0,594.835702732,29.7417851366,0,13.335604748192,0,13.335604748192,30.9866987431704,0,0.415415563725712,0,44.8577977945862,0.415415563725712,6.03742811761205,0,0.713351845016504,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2919",14549277020004,31057869010690,"87627.UT",2019,9310,40.87905,-110.943489,0,0,89.2253554098,104.0962479781,89.2253554098,0,0,49.437105194378,49.437105194378,46.9084334543679,0,0,17.1271323339445,17.9898373564541,17.1271323339445,0,0,0,16.7697662375883,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2954",14550088020004,11957837010690,"84578.UT",2016,9380,38.491725,-111.457376,0,0,0,29.7417851366,0,0,0,0,0,14.6716609148385,0,0,0,0.502823881143058,0,0,0,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","absent","none",0,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"2957",14550197020004,31544864010690,"80043.UT",2018,8030,41.373245,-111.777703,0,0,267.6760662294,267.6760662294,267.6760662294,0,0,35.3449110119752,35.3449110119752,35.3449110119752,0,0,26.2635620639903,26.2635620639903,26.2635620639903,0,0,0,29.52059455217,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"49","01455989","0400000US49","49","UT","Utah","00",212886221680,6998824394
"4247",37259363010690,-9999,"91728.NM",2010,9750,36.596942,-105.222101,0,208.1924959562,14.8708925683,1784.507108196,223.0633885245,0,16.1933715451724,13.716,16.0401217867363,15.7629972942965,0,4.28775472930967,0.219726425507741,34.8246039390371,4.50748115481741,0,0,6.74505810576475,0.373104095047531,0,2,0,2,0,0.686155291726163,0,0.686155291726163,"SB","absent","absent","SB",1,"absent","PIEN","ABLA","PIEN+ABLA",2,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4259",37261819010690,-9999,"80001.NM",2010,8970,36.241395,-105.224944,0,14.8708925683,0,684.0610581418,14.8708925683,0,27.686,0,27.686,20.0854913589495,0,0.89525708554783,0,21.6745500475819,0.89525708554783,6.60769203676246,0,1.14784275323976,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4260",37261822010690,-9999,"90676.NM",2010,10260,36.188262,-105.394369,0,237.9342810928,0,490.7394547539,237.9342810928,0,22.6362136575444,0,22.6362136575444,24.1166278737306,0,9.57535511707689,0,22.4168425776493,9.57535511707689,0.253484120510302,0,12.8464195716041,0,0,12,0,12,0,5.99334719891451,0,5.99334719891451,"SB","absent","absent","SB",1,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4267",37262457010690,-9999,"80809.NM",2010,9000,36.992226,-106.624779,0,14.8708925683,0,1026.0915872127,14.8708925683,0,38.862,0,38.862,27.2695479658331,0,1.76391491588159,0,59.9283480532965,1.76391491588159,30.6339779348576,0,1.97472347649048,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4272",37262521010690,-9999,"85815.NM",2010,10140,36.772528,-106.237534,0,267.6760662294,0,698.9319507101,267.6760662294,0,27.0895627584582,0,27.0895627584582,25.8779412611377,0,15.4277940801548,0,36.7607735218291,15.4277940801548,0,0,18.9584722357161,0,0,2,0,2,0,0.644108876968509,0,0.644108876968509,"SB","absent","absent","SB",1,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4280",37262723010690,-9999,"91264.NM",2010,10400,36.005816,-106.443911,0,386.6432067758,0,535.3521324588,386.6432067758,0,18.4133492628832,0,18.4133492628832,18.2382494591266,0,10.2959462717856,0,13.986084306753,10.2959462717856,0,0,15.302081150608,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4288",37262966010690,-9999,"81869.NM",2010,8810,35.827475,-106.439937,0,14.8708925683,0,520.4812398905,14.8708925683,0,24.384,0,24.384,31.5235241485285,0,0.694444011481256,0,40.6223373517314,0.694444011481256,19.1309680107371,0,0.936772154470606,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4292",37263627010690,-9999,"85146.NM",2010,10290,35.762977,-105.585473,0,936.8662318029,0,966.6080169395,936.8662318029,0,22.5635588758258,0,22.5635588758258,22.4032962094008,0,37.46132104513,0,38.1034707701564,37.46132104513,0,0,50.9198670952564,0,0,1,0,1,0,0.401550796135375,0,0.401550796135375,"SB","absent","absent","SB",1,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4294",37263658010690,-9999,"85818.NM",2010,10710,35.875014,-105.726045,0,282.5469587977,0,921.9953392346,282.5469587977,0,28.2780596110911,0,28.2780596110911,24.6750542778107,0,17.7451694196833,0,44.0895088252869,17.7451694196833,0,0,21.8871831921424,0,0,2,0,2,0,0.913642973004582,0,0.913642973004582,"SB","absent","absent","SB",1,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
"4297",37264348010690,-9999,"84815.NM",2010,10810,36.868789,-105.33544,0,282.5469587977,0,475.8685621856,282.5469587977,0,31.9135823848025,0,31.9135823848025,28.4867044184651,0,22.6012289162013,0,30.3292544558612,22.6012289162013,0,0,25.1888518386572,0,0,1,0,1,0,0.379849420776586,0,0.379849420776586,"SB","absent","absent","SB",1,"absent","PIEN","absent","PIEN",1,"35","00897535","0400000US35","35","NM","New Mexico","00",314196306401,728776523
