"nPPT12","nTMAX1.7","nTMIN1.12","PLT_CN","NA"
1,488.440002441406,26.9799995422363,-10.1899995803833,14547091020004
2,583.859985351562,25.2600002288818,-10.6700000762939,14547279020004
3,859.130004882812,23.5400009155273,-12.1400003433228,14547841020004
4,755.580017089844,24.1399993896484,-9.55000019073486,14548644020004
5,564.859985351562,24.5400009155273,-9.32999992370605,14548657020004
6,515.609985351562,23.8199996948242,-10.9799995422363,14549194020004
7,902.200012207031,21.5799999237061,-12.5900001525879,14549277020004
8,584.650024414062,23.1599998474121,-10.5100002288818,14550088020004
9,1106.18994140625,23.4799995422363,-8.75,14550197020004
10,707.720031738281,20.0300006866455,-11.0200004577637,37259363010690
11,742.380004882812,22.2900009155273,-9.69999980926514,37261819010690
12,782.160034179688,21.7800006866455,-10.1999998092651,37261822010690
13,783.280029296875,23.3199996948242,-11.6000003814697,37262457010690
14,822.75,20.4699993133545,-11.3999996185303,37262521010690
15,779.839965820312,20.8799991607666,-10.6800003051758,37262723010690
16,674.910034179688,22.7000007629395,-9.47999954223633,37262966010690
17,917.619995117188,20.3500003814697,-9.84000015258789,37263627010690
18,897.390014648438,20.7299995422363,-10.4099998474121,37263658010690
19,744.25,18.8600006103516,-12.3599996566772,37264348010690
20,668.280029296875,21.7900009155273,-11.289999961853,37264364010690
21,717.929992675781,23.0300006866455,-10.6700000762939,37264380010690
22,1046.84997558594,19.3700008392334,-11.2799997329712,37264427010690
23,798.789978027344,18.5200004577637,-12.0699996948242,37264440010690
24,1005.84002685547,20.1100006103516,-10.4899997711182,37271545010690
25,760.650024414062,21.9099998474121,-10.4899997711182,37271546010690
26,766.210021972656,25.5100002288818,-8.53999996185303,37271688010690
27,723.640014648438,28.4699993133545,-6.15999984741211,37271850010690
28,691.780029296875,24.6800003051758,-13.6499996185303,37272720010690
29,1089.33996582031,19.5300006866455,-12.9799995422363,37272728010690
30,793.679992675781,21.2800006866455,-11.4799995422363,37272776010690
31,1004.5400390625,18.5499992370605,-13.9200000762939,37272778010690
32,874.460021972656,16.6800003051758,-15.8199996948242,37272790010690
33,773.630004882812,17.6000003814697,-15.2700004577637,37272792010690
34,773.809997558594,18.4799995422363,-15.5900001525879,37272793010690
35,808.659973144531,17.5100002288818,-15.2399997711182,37272817010690
36,636.830017089844,16.1900005340576,-16.2299995422363,37272820010690
37,761.190002441406,19.0400009155273,-12.1099996566772,37272845010690
38,891.970031738281,16.8899993896484,-14.4399995803833,37272846010690
39,912.239990234375,20.7800006866455,-15.1400003433228,37272865010690
40,931.669982910156,18.7099990844727,-12.2799997329712,37272877010690
41,947.960021972656,19.4300003051758,-13,37272880010690
42,707.029968261719,22.7600002288818,-12.3699998855591,37272883010690
43,1119.97998046875,18.5400009155273,-14.75,37272896010690
44,610.630004882812,24.2600002288818,-13.460000038147,37272901010690
45,670.010009765625,24.8999996185303,-14.0299997329712,37272905010690
46,907.570007324219,18.7399997711182,-14.7600002288818,37272906010690
47,814.97998046875,19.0300006866455,-14.8699998855591,37272907010690
48,779.349975585938,20.3799991607666,-13.9399995803833,37272909010690
49,743.989990234375,20.7000007629395,-13.8199996948242,37272910010690
50,863.7099609375,18.7999992370605,-15.5500001907349,37272911010690
51,682.010009765625,19.7600002288818,-14.3199996948242,37272912010690
52,419.989990234375,23.4899997711182,-11.8599996566772,37272958010690
53,851.419982910156,22.0699996948242,-12.210000038147,37272974010690
54,894.5,21.0400009155273,-14.3800001144409,37272975010690
55,768.080017089844,21.7199993133545,-11.4700002670288,37272982010690
56,663.670043945312,22,-10.8400001525879,37273002010690
57,732.799987792969,21.2099990844727,-11.5699996948242,37273003010690
58,732.200012207031,22.8400001525879,-14.710000038147,37273004010690
59,826.390014648438,19.2299995422363,-14.4200000762939,37273008010690
60,652.150024414062,21.1499996185303,-14.4099998474121,37273009010690
61,460.230010986328,24.1100006103516,-13.710000038147,37273010010690
62,961.130004882812,20.5499992370605,-12.7700004577637,37273015010690
63,483.049987792969,24.2600002288818,-14.1400003433228,37273016010690
64,634.099975585938,22.6700000762939,-13.8299999237061,37273019010690
65,655.659973144531,20,-13.1899995803833,37273020010690
66,795.710021972656,20.0799999237061,-14.0799999237061,37273022010690
67,725.200012207031,22.4500007629395,-16.1499996185303,37273031010690
68,618.710021972656,21.3799991607666,-16.1599998474121,37273032010690
69,792.700012207031,24.2099990844727,-12.1899995803833,37273035010690
70,632.010009765625,20.25,-15.5299997329712,37273038010690
71,769.789978027344,20.5,-14.6899995803833,37273039010690
72,594.5,20.8600006103516,-15.3999996185303,37273043010690
73,578.419982910156,23.6499996185303,-15.0900001525879,37273049010690
74,415.899993896484,23.7000007629395,-12.8800001144409,37273052010690
75,497.790008544922,21.8400001525879,-13.8299999237061,37273054010690
76,1032.42004394531,21,-14.5600004196167,37273057010690
77,773,18.9300003051758,-14.3000001907349,37273061010690
78,735.679992675781,20.1700000762939,-16.4300003051758,37273063010690
79,1055.02001953125,16.8999996185303,-14.5699996948242,37273068010690
80,874.97998046875,19.7800006866455,-14.3900003433228,37273069010690
81,716.659973144531,23.2600002288818,-12.6400003433228,37273072010690
82,588.150024414062,19.7600002288818,-14.3100004196167,37273073010690
83,745.220031738281,20.0699996948242,-12.0799999237061,37273074010690
84,1135.33996582031,21.7399997711182,-12.9099998474121,37273092010690
85,1519.63000488281,19.3099994659424,-14.4099998474121,37273093010690
86,802.75,23.3500003814697,-12.9499998092651,37273094010690
87,941.309997558594,22.6700000762939,-13.3699998855591,37273097010690
88,697.260009765625,23.8400001525879,-13.9499998092651,37273101010690
89,924.77001953125,22.6800003051758,-14.3599996566772,37273105010690
90,748.400024414062,21.4099998474121,-13.960000038147,37273106010690
91,625.739990234375,22,-13.960000038147,37273107010690
92,588.22998046875,22.8999996185303,-12.9300003051758,37273108010690
93,527.380004882812,21.0900001525879,-14.8900003433228,37273162010690
94,928.409973144531,19.4899997711182,-11.1300001144409,37273169010690
95,800.919982910156,22.9699993133545,-10.9300003051758,37273171010690
96,976.299987792969,18.1700000762939,-12.3400001525879,37273184010690
97,918.940002441406,21.2600002288818,-10.8599996566772,37273185010690
98,932.390014648438,20.4300003051758,-13.8000001907349,37273188010690
99,461.639984130859,24.6200008392334,-10.3400001525879,37273189010690
100,864.450012207031,19.9099998474121,-14.0600004196167,37273195010690
101,458.290008544922,26.5300006866455,-9.22000026702881,37273198010690
102,1097.97998046875,17.8500003814697,-15.1400003433228,37273202010690
103,551.049987792969,24.1700000762939,-9.28999996185303,37273203010690
104,906.859985351562,19.0599994659424,-13.7299995422363,37273206010690
105,494.739990234375,26.5799999237061,-7.48999977111816,37273207010690
106,640.539978027344,22.0599994659424,-11.6499996185303,37273214010690
107,901.170043945312,19.2600002288818,-12.3199996948242,37273244010690
108,921.130004882812,20.7399997711182,-13.710000038147,37273337010690
109,492.519989013672,26.4200000762939,-11.8100004196167,37273355010690
110,591.510009765625,21.5599994659424,-15,37273360010690
111,1306.35998535156,18.1299991607666,-13.6899995803833,37273363010690
112,1423.23999023438,17.9099998474121,-13.1700000762939,37273364010690
113,1155.40002441406,19.9300003051758,-13.9499998092651,37273365010690
114,1067.71997070312,19.5200004577637,-11.3000001907349,37273420010690
115,645.510009765625,24.6700000762939,-12.5600004196167,37273456010690
116,793.390014648438,24.3899993896484,-11.8599996566772,37273462010690
117,837,20.7099990844727,-12.1999998092651,37273494010690
118,655.299987792969,21.2199993133545,-11.6199998855591,37273498010690
119,685.280029296875,20.2399997711182,-13.0299997329712,37273502010690
120,711.72998046875,21.0400009155273,-12.8400001525879,37273506010690
121,501.269989013672,22.9400005340576,-12.0500001907349,37273508010690
122,511.070007324219,27.6499996185303,-10.8000001907349,37273527010690
123,773.590026855469,20.3999996185303,-14.4300003051758,37273528010690
124,843.799987792969,19.5400009155273,-15.6599998474121,37273530010690
125,996.989990234375,19.6399993896484,-15.210000038147,37273531010690
126,950.780029296875,20.0599994659424,-15.4799995422363,37273532010690
127,758.809997558594,22.5599994659424,-14.7700004577637,37273533010690
128,823.049987792969,22.8600006103516,-13.3100004196167,37273586010690
129,903.900024414062,22.0200004577637,-14,37273587010690
130,1248.08996582031,17.6499996185303,-15.2399997711182,37273588010690
131,918.440002441406,21.9899997711182,-13.75,37273598010690
132,954.049987792969,18.2399997711182,-13.8299999237061,37273620010690
133,704.039978027344,21.7999992370605,-13.289999961853,37273621010690
134,878.679992675781,19.9899997711182,-13.1499996185303,37273624010690
