"ID","PRISM_tmin_stable_4kmM3_198112_bil","PRISM_tmin_stable_4kmM3_198212_bil","PRISM_tmin_stable_4kmM3_198312_bil","PRISM_tmin_stable_4kmM3_198412_bil","PRISM_tmin_stable_4kmM3_198512_bil","PRISM_tmin_stable_4kmM3_198612_bil","PRISM_tmin_stable_4kmM3_198712_bil","PRISM_tmin_stable_4kmM3_198812_bil","PRISM_tmin_stable_4kmM3_198912_bil","PRISM_tmin_stable_4kmM3_199012_bil","PRISM_tmin_stable_4kmM3_199112_bil","PRISM_tmin_stable_4kmM3_199212_bil","PRISM_tmin_stable_4kmM3_199312_bil","PRISM_tmin_stable_4kmM3_199412_bil","PRISM_tmin_stable_4kmM3_199512_bil","PRISM_tmin_stable_4kmM3_199612_bil","PRISM_tmin_stable_4kmM3_199712_bil","PRISM_tmin_stable_4kmM3_199812_bil","PRISM_tmin_stable_4kmM3_199912_bil","PRISM_tmin_stable_4kmM3_200012_bil","PRISM_tmin_stable_4kmM3_200112_bil","PRISM_tmin_stable_4kmM3_200212_bil","PRISM_tmin_stable_4kmM3_200312_bil","PRISM_tmin_stable_4kmM3_200412_bil","PRISM_tmin_stable_4kmM3_200512_bil","PRISM_tmin_stable_4kmM3_200612_bil","PRISM_tmin_stable_4kmM3_200712_bil","PRISM_tmin_stable_4kmM3_200812_bil","PRISM_tmin_stable_4kmM3_200912_bil","PRISM_tmin_stable_4kmM3_201012_bil","PRISM_tmin_stable_4kmM3_201112_bil","PRISM_tmin_stable_4kmM3_201212_bil","PRISM_tmin_stable_4kmM3_201312_bil","PRISM_tmin_stable_4kmM3_201412_bil","PRISM_tmin_stable_4kmM3_201512_bil","PRISM_tmin_stable_4kmM3_201612_bil","PRISM_tmin_stable_4kmM3_201712_bil","PRISM_tmin_stable_4kmM3_201812_bil","PRISM_tmin_stable_4kmM3_201912_bil","PRISM_tmin_stable_4kmM3_202012_bil","PLT_CN"
1,-8.52600002288818,-10.3920001983643,-11.7430000305176,-10.7779998779297,-8.6879997253418,-9.27299976348877,-12.1020002365112,-10.7329998016357,-9.37100028991699,-14.2080001831055,-8.31700038909912,-11.8219995498657,-9.85200023651123,-8.29100036621094,-7.11999988555908,-9.84200000762939,-9.87899971008301,-9.09700012207031,-8.55700016021729,-7.96199989318848,-10.2119998931885,-8.41300010681152,-8.12899971008301,-8.09700012207031,-9.02499961853027,-8.86699962615967,-11.8940000534058,-10.3400001525879,-12.8219995498657,-7.375,-9.29800033569336,-9.24300003051758,-10.9180002212524,-8.05300045013428,-10.7309999465942,-10.414999961853,-6.18200016021729,-9.93400001525879,-9.08699989318848,-9.25699996948242,14547091020004
2,-9.3149995803833,-11.201000213623,-11.9540004730225,-11.4829998016357,-9.19400024414062,-9.54899978637695,-12.9270000457764,-12.0059995651245,-9.82999992370605,-15.4670000076294,-10.5880002975464,-13.8129997253418,-11.0349998474121,-10.0129995346069,-8.9709997177124,-11.2399997711182,-11.7519998550415,-11.2360000610352,-10.326000213623,-9.74199962615967,-12.2180004119873,-8.36699962615967,-8.20800018310547,-8.18299961090088,-9.28699970245361,-8.97299957275391,-11.8730001449585,-10.4259996414185,-12.4350004196167,-6.88700008392334,-9.15100002288818,-9.45199966430664,-11.5310001373291,-8.19999980926514,-11.3380002975464,-11.4910001754761,-7.38199996948242,-10.1929998397827,-10.0579996109009,-10.0710000991821,14547279020004
3,-10.7709999084473,-11.9569997787476,-13.1630001068115,-11.8380002975464,-11.2620000839233,-11.4490003585815,-12.6420001983643,-12.8330001831055,-12.1780004501343,-16.4549999237061,-11.2709999084473,-13.3409996032715,-12.9049997329712,-10.3730001449585,-10.1870002746582,-12.2390003204346,-12.3140001296997,-11.2510004043579,-11.7729997634888,-10.8559999465942,-13.2880001068115,-11.9040002822876,-10.6009998321533,-10.9119997024536,-11.673999786377,-10.8509998321533,-13.3219995498657,-12.2720003128052,-14.4779996871948,-7.70900011062622,-11.2959995269775,-10.7259998321533,-12.3120002746582,-9.28600025177002,-11.6940002441406,-10.875,-7.58400011062622,-10.9139995574951,-10.6829996109009,-11.2209997177124,14547841020004
4,-7.41699981689453,-10.003999710083,-9.72900009155273,-10.0659999847412,-7.625,-9.71399974822998,-11.3170003890991,-10.8830003738403,-9.29899978637695,-14.5640001296997,-9.74699974060059,-11.5920000076294,-10.1049995422363,-8.27000045776367,-7.65999984741211,-8.69099998474121,-11.1359996795654,-9.78499984741211,-10.1920003890991,-8.4689998626709,-10.7770004272461,-9.75800037384033,-6.47399997711182,-7.58799982070923,-7.375,-8.36499977111816,-10.2760000228882,-9.13099956512451,-11.1280002593994,-4.84800004959106,-9.36200046539307,-7.21500015258789,-10.8400001525879,-7.49200010299683,-10.0539999008179,-9.36600017547607,-6.62099981307983,-9.22399997711182,-8.71500015258789,-9.72900009155273,14548644020004
5,-7.27299976348877,-9.80799961090088,-9.75,-9.82600021362305,-7.40999984741211,-9.37899971008301,-11.043999671936,-10.1859998703003,-8.53899955749512,-13.1009998321533,-8.06599998474121,-11.1190004348755,-9.89400005340576,-8.23700046539307,-7.27799987792969,-8.89799976348877,-10.0389995574951,-8.95199966430664,-9.17399978637695,-7.26200008392334,-10.5629997253418,-8.88700008392334,-7.30999994277954,-7.4539999961853,-7.73000001907349,-7.77199983596802,-10.3380002975464,-9.1879997253418,-10.3210000991821,-4.99100017547607,-8.55700016021729,-7.61100006103516,-9.04699993133545,-6.87900018692017,-9.27000045776367,-8.1560001373291,-5.31599998474121,-8.47000026702881,-8.04300022125244,-8.23999977111816,14548657020004
6,-11.0500001907349,-13.076000213623,-10.8059997558594,-11.5450000762939,-11.5170001983643,-10.5509996414185,-13.0749998092651,-11.9099998474121,-9.89900016784668,-15.0059995651245,-11.0600004196167,-13.7040004730225,-12.2180004119873,-11.2110004425049,-9.25100040435791,-10.5930004119873,-12.3290004730225,-11.3549995422363,-10.7049999237061,-8.5019998550415,-11.7670001983643,-10.4029998779297,-9.11600017547607,-9.9709997177124,-9.625,-9.67000007629395,-12.6470003128052,-10.8070001602173,-12.4619998931885,-6.87900018692017,-10.4610004425049,-9.92199993133545,-11.503999710083,-9.05799961090088,-11.33899974823,-11.1770000457764,-7.47399997711182,-10.875,-10.8129997253418,-11.1960000991821,14549194020004
7,-11.0520000457764,-12.0550003051758,-14.1350002288818,-14.2340002059937,-10.7569999694824,-13.7690000534058,-15.7259998321533,-14.2110004425049,-12.3669996261597,-17.5930004119873,-12.6300001144409,-14.6820001602173,-13.3360004425049,-11.4079999923706,-10.9549999237061,-12.5860004425049,-14.0459995269775,-13.0109996795654,-12.2399997711182,-11.5920000076294,-13.4499998092651,-11.5520000457764,-10.7770004272461,-10.7110004425049,-12.5609998703003,-11.7889995574951,-13.8590002059937,-12.96399974823,-14.8459997177124,-9.51299953460693,-12.1420001983643,-11.4540004730225,-13.0109996795654,-9.97200012207031,-12.6230001449585,-13.5959997177124,-9.56599998474121,-12.4530000686646,-11.9309997558594,-12.1969995498657,14549277020004
8,-9.71399974822998,-11.5220003128052,-11.4309997558594,-11.1180000305176,-9.71100044250488,-12.3610000610352,-13.2569999694824,-12.7799997329712,-11.3760004043579,-14.9860000610352,-10.8780002593994,-12.4759998321533,-10.9329996109009,-9.89299964904785,-9.28400039672852,-10.3739995956421,-12.2329998016357,-10.9759998321533,-11.6949996948242,-9.62899971008301,-12.1199998855591,-11.2489995956421,-9.22700023651123,-9.78800010681152,-9.45499992370605,-10.1700000762939,-12.2170000076294,-10.8100004196167,-12.8529996871948,-6.59600019454956,-11.1269998550415,-9.45699977874756,-10.4709997177124,-8.19299983978271,-10.6269998550415,-9.77299976348877,-6.70300006866455,-9.4370002746582,-9.33600044250488,-9.38099956512451,14550088020004
9,-7.28499984741211,-9.02600002288818,-11.4139995574951,-9.91499996185303,-9.15100002288818,-9.1870002746582,-10.2580003738403,-9.97599983215332,-8.72700023651123,-14.6879997253418,-8.0629997253418,-11.1379995346069,-9.44600009918213,-7.05900001525879,-6.46000003814697,-8.5019998550415,-9.68900012969971,-10.0129995346069,-7.81400012969971,-7.84200000762939,-9.99400043487549,-6.72300004959106,-6.89900016784668,-7.24900007247925,-9.02099990844727,-8.50100040435791,-10.2259998321533,-9.02099990844727,-11.1149997711182,-6.25799989700317,-8.67099952697754,-7.81500005722046,-10.378999710083,-5.60099983215332,-8.63599967956543,-10.33899974823,-6.7039999961853,-8.46599960327148,-7.52600002288818,-8.14500045776367,14550197020004
10,-9.84799957275391,-10.9449996948242,-12.2130002975464,-9.33600044250488,-10.9619998931885,-11.4289999008179,-12.1199998855591,-12.1059999465942,-12.6709995269775,-12.4659996032715,-11.5670003890991,-12.3219995498657,-11.6520004272461,-9.45199966430664,-9.52299976348877,-11.3459997177124,-12.423999786377,-9.8129997253418,-11.9230003356934,-10.4809999465942,-12.0419998168945,-12.0819997787476,-10.1890001296997,-10.1180000305176,-10.1929998397827,-10.0069999694824,-10.9759998321533,-9.50500011444092,-12.7379999160767,-6.60699987411499,-11.0539999008179,-10.2760000228882,-10.0640001296997,-8.90299987792969,-9.7819995880127,-8.44400024414062,-6.71799993515015,-9.95499992370605,-9.28999996185303,-10.3219995498657,37259363010690
